Folder,action,bandwidth,fractionLossRates,fractionNackrate,fractionPliRate,fractionQueueingRtt,fractionRtt,interarrivalRttJitter,lossRate,rttMean,rttStd,rxGoodput,txGoodput
gcc 10mbps,0.0,0.3929866877078133,1.0,0.8565663145781368,1.0,0.44299556019011005,0.3863419052846434,0.8160688781341402,1.0,0.2798544238305728,0.0,0.0,0.0
gcc 6 mbps,0.4156297747878304,0.0,0.5543766683190174,0.3661276298591391,0.16163509271407342,0.5954475633914256,0.5544895606801541,0.7846916219704296,0.4990137688776901,0.49035550974543657,0.4137969819442269,0.2573062409207654,0.25849239695926274
gcc 7mbps,0.6239726038143412,0.22438318900753362,0.5414510794104058,0.3773479787398858,0.14376202808943772,0.6952591587796715,0.628449647751577,0.9726926036474465,0.5264490270173464,0.5249994083059312,0.40338196783231894,0.42484855052677567,0.42378230328701316
rewardRate = 0.00,0.165428305276388,0.5872879818371681,0.0,0.0,9.800282239895242e-06,0.5246757712346779,0.459024235781829,0.2419837258978048,0.0,0.39385714569852653,0.44784941242590903,0.5073441027404172,0.45897958515273823
"rewardRate = 0.00, nack = 0.0",0.165428305276388,0.5872879818371681,0.0,0.0,9.800282239895242e-06,0.5246757712346779,0.459024235781829,0.2419837258978048,0.0,0.39385714569852653,0.44784941242590903,0.5073441027404172,0.45897958515273823
rewardRate = 0.10,0.43039585255684965,0.836259339775304,0.2166178493576983,0.3337616894780094,0.07479727908312575,0.375638167364466,0.3701102507026441,0.0,0.026202285918739212,0.31124076991440924,0.216438859223223,0.7167136476360324,0.6810310570201189
rewardRate = 0.10 - new,0.6448949081580594,1.0,0.8127530856450536,1.0,0.14840982186602825,0.5622423577004301,0.5454481451853501,0.4369888925297949,0.5437175430168744,0.503840742315549,0.42084875428997415,0.9789041466064407,0.9767628069685204
rewardRate = 0.10 - sens,0.6527609681950367,0.7716073429031666,0.11080609331744581,0.2028215436314499,0.08706846708598454,0.4903503599146205,0.4398272490906617,0.7473948088601996,0.1507111605993436,0.3550688248741405,0.5989007548727958,0.8603731977010831,0.8378445728920589
"rewardRate = 0.10, bandwidth=30.0 + 6.0, jitter = 0.3, extra_gcc",0.4519969053274033,0.8559072638322042,0.49856707580242027,0.37219023115001465,0.0,1.0,1.0,0.8494451176959976,0.8137770532241168,1.0,1.0,0.7664473013949544,0.7418567986606376
"rewardRate = 0.10, bandwidth=30.0, jitter = 0.3, extra_gcc",0.2850462721221523,0.902188044728869,0.3511053870115878,0.49822203986573244,0.021649329979457795,0.7539609532799059,0.930867813601434,0.2773494030906486,0.25024738026891635,0.9677119230945878,0.6407364344319256,0.7324687659567582,0.7066210871481787
"rewardRate = 0.10, bandwidth=40.0, jitter = 0.3, extra_gcc",0.4061937214824678,0.8086126636186959,0.412373648434397,0.5096298183023669,0.06652896117550276,0.7711172215871446,0.741552408102437,0.3667898282414232,0.4240694761922913,0.6925201722932787,0.9032169536596681,0.8086554706423534,0.7724823745668896
"rewardRate = 0.10, jitter = 0.4, pli = 0.1, nack = 0,1",0.6473781035780591,0.9505080608752019,0.2805759088570311,0.4571416851179468,0.032838476039564836,0.4251817249661949,0.3793289048759406,0.21367984775571547,0.14599308416470758,0.33472120735816274,0.27948365936762354,0.9165212699077347,0.8962345264207011
"rewardRate = 0.10, pli = 0.1, nack = 0,1, jitter = 0.4",0.6473781035780591,0.9505080608752019,0.2805759088570311,0.4571416851179468,0.032838476039564836,0.4251817249661949,0.3793289048759406,0.21367984775571547,0.14599308416470758,0.33472120735816274,0.27948365936762354,0.9165212699077347,0.8962345264207011
"rewardRate = 0.10, pli = 0.1, nack = 0.1",0.7634041864582178,0.9543143386181433,0.7439901570855764,0.8490206961181149,0.28599719149575836,0.6207635184470522,0.6108609144705768,0.3029418824952519,0.31144010743797657,0.527288261365129,0.7978151323901532,0.9695431656290584,0.9626255319606494
"rewardRate = 0.10, pli = 0.1, nack = 0.1, jitter = 0.3, plr = 0.3",0.7840541932849446,0.8478310592946962,0.3563709747894551,0.5837422044243734,0.09267826424926712,0.5002944951783012,0.4228484655222513,0.1537697723092181,0.23189659190942927,0.37560073512601716,0.32640786305482705,0.9717208140524204,0.966107940585624
"rewardRate = 0.10, plr = 0.3, pli = 0.1, nack = 0.1, jitter = 0.3",0.7840541932849446,0.8478310592946962,0.3563709747894551,0.5837422044243734,0.09267826424926712,0.5002944951783012,0.4228484655222513,0.1537697723092181,0.23189659190942927,0.37560073512601716,0.32640786305482705,0.9717208140524204,0.966107940585624
rewardRate = 0.15,0.7871485394001506,0.948910337477278,0.4763337864441074,0.45140889627173775,0.055823145950072865,0.6138604521656328,0.5429265015727301,0.4642576480719062,0.48364813975564,0.40622636785577393,0.23171552266228646,0.9956959688036047,0.9966073465891188
rewardRate = 0.20,0.8110799428625356,0.9856702920997594,0.457548463036994,0.36866790879032657,0.05423598302673433,0.5875170048169772,0.5521022663774611,0.7749390207895263,0.3106445707794409,0.5121272939564663,0.3995039769885828,0.990762779434572,0.9896444654109127
rewardRate = 0.25,1.0,0.9710908557114764,0.2590994004757151,0.3503537932118678,0.05416304681708028,0.0,0.0,0.2598955156860871,0.19370608099973902,0.0,0.035102150250293715,0.9810683336603576,0.9795399490777804
rewardRate = 0.25 - new,0.9346946074531335,0.9537143477785256,0.6878393534654662,0.5476280506596253,0.047531777150337774,0.6602894802230033,0.6453319901299613,0.623698912607153,0.5735097331616636,0.595674033617706,0.5118714387296803,1.0,1.0
rewardRate = 0.25 - sens,0.7630143639982339,0.9531672841215405,0.6276773883719322,0.5114223802842733,0.007163892944298283,0.5323873639238553,0.5434658066001417,0.5608606099984905,0.5453231692932922,0.5438343664750434,0.7526788771774235,0.9592959838540628,0.9487777750234581
"rewardRate = 0.25, bandwidth=30.0 + 6.0, jitter = 0.3, extra_gcc",0.8089223481214115,0.8417849711297256,0.6115132171146787,0.7492961195387794,0.2999412563338423,0.8543326460595744,0.8888582939114028,0.32765943580480245,0.6351118343915094,0.842231425386015,0.8888235511130304,0.9889762458001929,0.9864426570937561
"rewardRate = 0.25, bandwidth=30.0, jitter = 0.3, extra_gcc",0.7869628678242786,0.8507642453277815,0.8226380103379352,0.789784195328072,0.1237644209402839,0.829228791110874,0.9650024535392953,0.2395858274371244,0.8482030811110296,0.9460066494942669,0.726095572465255,0.9597154412564064,0.9540313745187451
"rewardRate = 0.25, bandwidth=40.0, jitter = 0.3, extra_gcc",0.8629231596344302,0.8974434932196327,0.9347692935678523,0.8815248061224112,0.2299181419304546,0.7317314359444549,0.8477958600050592,0.29570812814275177,0.6941129602607242,0.8173486596222346,0.5691904559621654,0.9818746002244877,0.9808263018854555
rewardRate = 0.30,0.9814459679235309,0.9092570408318084,0.6502245670719026,0.42468434755337003,0.1990797723193127,0.591990981891536,0.5992293818601591,1.0,0.8439648148834776,0.5426211228611437,0.32479765733272664,0.9999380706685339,0.9997543561981554
